Original,Stemming,Lematización,¿Coinciden?
84,84,84,True
Most,most,most,True
recently,recent,recently,False
updated,updat,update,False
February,februari,February,False
10,10,10,True
2026,2026,2026,True
Language,languag,language,False
English,english,English,True
Other,other,other,True
information,inform,information,False
and,and,and,True
formats,format,format,True
www.gutenberg.org/ebooks/84,www.gutenberg.org/ebooks/84,www.gutenberg.org/ebooks/84,True
Credits,credit,credit,True
Judith,judith,Judith,True
Boss,boss,Boss,True
Christy,christi,Christy,False
Phillips,phillip,Phillips,False
Lynn,lynn,Lynn,True
Hanninen,hanninen,Hanninen,True
and,and,and,True
David,david,David,True
Meltzer,meltzer,Meltzer,True
HTML,html,html,True
version,version,version,True
by,by,by,True
Al,al,Al,True
Haines,hain,Haines,False
Further,further,further,True
corrections,correct,correction,False
by,by,by,True
Menno,menno,Menno,True
de,de,de,True
Leeuw,leeuw,Leeuw,True
START,start,start,True
OF,of,of,True
THE,the,the,True
PROJECT,project,PROJECT,True
GUTENBERG,gutenberg,GUTENBERG,True
EBOOK,ebook,EBOOK,True
FRANKENSTEIN,frankenstein,FRANKENSTEIN,True
OR,or,or,True
THE,the,the,True
MODERN,modern,MODERN,True
PROMETHEUS,prometheus,PROMETHEUS,True
Frankenstein,frankenstein,Frankenstein,True
or,or,or,True
the,the,the,True
Modern,modern,Modern,True
Prometheus,prometheus,Prometheus,True
by,by,by,True
Mary,mari,Mary,False
Wollstonecraft,wollstonecraft,Wollstonecraft,True
Godwin,godwin,Godwin,True
Shelley,shelley,Shelley,True
CONTENTS,content,content,True
Letter,letter,Letter,True
1,1,1,True
Letter,letter,Letter,True
2,2,2,True
Letter,letter,Letter,True
3,3,3,True
Letter,letter,Letter,True
4,4,4,True
Chapter,chapter,chapter,True
1,1,1,True
Chapter,chapter,chapter,True
2,2,2,True
Chapter,chapter,chapter,True
3,3,3,True
Chapter,chapter,chapter,True
4,4,4,True
Chapter,chapter,chapter,True
5,5,5,True
Chapter,chapter,chapter,True
6,6,6,True
Chapter,chapter,chapter,True
7,7,7,True
Chapter,chapter,chapter,True
8,8,8,True
Chapter,chapter,chapter,True
9,9,9,True
Chapter,chapter,chapter,True
10,10,10,True
Chapter,chapter,chapter,True
11,11,11,True
Chapter,chapter,chapter,True
12,12,12,True
Chapter,chapter,chapter,True
13,13,13,True
Chapter,chapter,chapter,True
14,14,14,True
Chapter,chapter,chapter,True
15,15,15,True
Chapter,chapter,chapter,True
16,16,16,True
Chapter,chapter,chapter,True
17,17,17,True
Chapter,chapter,chapter,True
18,18,18,True
Chapter,chapter,chapter,True
19,19,19,True
Chapter,chapter,chapter,True
20,20,20,True
Chapter,chapter,chapter,True
21,21,21,True
Chapter,chapter,chapter,True
22,22,22,True
Chapter,chapter,chapter,True
23,23,23,True
Chapter,chapter,chapter,True
24,24,24,True
Letter,letter,Letter,True
1,1,1,True
To,to,to,True
Mrs.,mrs.,Mrs.,True
Saville,savill,Saville,False
England,england,England,True
St.,st.,St.,True
Petersburgh,petersburgh,Petersburgh,True
Dec.,dec.,Dec.,True
11th,11th,11th,True
17—.,17—.,17—.,True
You,you,you,True
will,will,will,True
rejoice,rejoic,rejoice,False
to,to,to,True
hear,hear,hear,True
that,that,that,True
no,no,no,True
disaster,disast,disaster,False
has,has,have,False
accompanied,accompani,accompany,False
the,the,the,True
commencement,commenc,commencement,False
of,of,of,True
an,an,an,True
enterprise,enterpris,enterprise,False
which,which,which,True
you,you,you,True
have,have,have,True
regarded,regard,regard,True
with,with,with,True
such,such,such,True
evil,evil,evil,True
forebodings,forebod,foreboding,False
I,i,I,True
arrived,arriv,arrive,False
here,here,here,True
yesterday,yesterday,yesterday,True
and,and,and,True
my,my,my,True
first,first,first,True
task,task,task,True
is,is,be,False
to,to,to,True
assure,assur,assure,False
my,my,my,True
dear,dear,dear,True
sister,sister,sister,True
of,of,of,True
my,my,my,True
welfare,welfar,welfare,False
and,and,and,True
increasing,increas,increase,False
confidence,confid,confidence,False
in,in,in,True
the,the,the,True
success,success,success,True
of,of,of,True
my,my,my,True
undertaking,undertak,undertaking,False
I,i,I,True
am,am,be,False
already,alreadi,already,False
far,far,far,True
north,north,north,True
of,of,of,True
London,london,London,True
and,and,and,True
as,as,as,True
I,i,I,True
walk,walk,walk,True
in,in,in,True
the,the,the,True
streets,street,street,True
of,of,of,True
Petersburgh,petersburgh,Petersburgh,True
I,i,I,True
feel,feel,feel,True
a,a,a,True
cold,cold,cold,True
northern,northern,northern,True
breeze,breez,breeze,False
play,play,play,True
upon,upon,upon,True
my,my,my,True
cheeks,cheek,cheek,True
which,which,which,True
braces,brace,brace,True
my,my,my,True
nerves,nerv,nerve,False
and,and,and,True
fills,fill,fill,True
me,me,I,False
with,with,with,True
delight,delight,delight,True
Do,do,do,True
you,you,you,True
understand,understand,understand,True
this,this,this,True
feeling,feel,feeling,False
This,this,this,True
breeze,breez,breeze,False
which,which,which,True
has,has,have,False
travelled,travel,travel,True
from,from,from,True
the,the,the,True
regions,region,region,True
towards,toward,towards,False
which,which,which,True
I,i,I,True
am,am,be,False
advancing,advanc,advance,False
gives,give,give,True
me,me,I,False
a,a,a,True
foretaste,foretast,foretaste,False
of,of,of,True
those,those,those,True
icy,ici,icy,False
climes,clime,clime,True
Inspirited,inspirit,inspirit,True
by,by,by,True
this,this,this,True
wind,wind,wind,True
of,of,of,True
promise,promis,promise,False
my,my,my,True
daydreams,daydream,daydream,True
become,becom,become,False
more,more,more,True
fervent,fervent,fervent,True
and,and,and,True
vivid,vivid,vivid,True
I,i,I,True
try,tri,try,False
in,in,in,True
vain,vain,vain,True
to,to,to,True
be,be,be,True
persuaded,persuad,persuade,False
that,that,that,True
the,the,the,True
pole,pole,pole,True
is,is,be,False
the,the,the,True
seat,seat,seat,True
of,of,of,True
frost,frost,frost,True
and,and,and,True
desolation,desol,desolation,False
it,it,it,True
ever,ever,ever,True
presents,present,present,True
itself,itself,itself,True
to,to,to,True
my,my,my,True
imagination,imagin,imagination,False
as,as,as,True
the,the,the,True
region,region,region,True
of,of,of,True
beauty,beauti,beauty,False
and,and,and,True
delight,delight,delight,True
There,there,there,True
Margaret,margaret,Margaret,True
the,the,the,True
sun,sun,sun,True
is,is,be,False
for,for,for,True
ever,ever,ever,True
visible,visibl,visible,False
its,it,its,False
broad,broad,broad,True
disk,disk,disk,True
just,just,just,True
skirting,skirt,skirt,True
the,the,the,True
horizon,horizon,horizon,True
and,and,and,True
diffusing,diffus,diffuse,False
a,a,a,True
perpetual,perpetu,perpetual,False
splendour,splendour,splendour,True
There,there,there,True
for,for,for,True
with,with,with,True
your,your,your,True
leave,leav,leave,False
my,my,my,True
sister,sister,sister,True
I,i,I,True
will,will,will,True
put,put,put,True
some,some,some,True
trust,trust,trust,True
in,in,in,True
preceding,preced,precede,False
navigators,navig,navigator,False
there,there,there,True
snow,snow,snow,True
and,and,and,True
frost,frost,frost,True
are,are,be,False
banished,banish,banish,True
and,and,and,True
sailing,sail,sail,True
over,over,over,True
a,a,a,True
calm,calm,calm,True
sea,sea,sea,True
we,we,we,True
may,may,may,True
be,be,be,True
wafted,waft,waft,True
to,to,to,True
a,a,a,True
land,land,land,True
surpassing,surpass,surpass,True
in,in,in,True
wonders,wonder,wonder,True
and,and,and,True
in,in,in,True
beauty,beauti,beauty,False
every,everi,every,False
region,region,region,True
hitherto,hitherto,hitherto,True
discovered,discov,discover,False
on,on,on,True
the,the,the,True
habitable,habit,habitable,False
globe,globe,globe,True
Its,it,its,False
productions,product,production,False
and,and,and,True
features,featur,feature,False
may,may,may,True
be,be,be,True
without,without,without,True
example,exampl,example,False
as,as,as,True
the,the,the,True
phenomena,phenomena,phenomena,True
of,of,of,True
the,the,the,True
heavenly,heaven,heavenly,False
bodies,bodi,body,False
undoubtedly,undoubt,undoubtedly,False
are,are,be,False
in,in,in,True
those,those,those,True
undiscovered,undiscov,undiscovered,False
solitudes,solitud,solitude,False
What,what,what,True
may,may,may,True
not,not,not,True
be,be,be,True
expected,expect,expect,True
in,in,in,True
a,a,a,True
country,countri,country,False
of,of,of,True
eternal,etern,eternal,False
light,light,light,True
I,i,I,True
may,may,may,True
there,there,there,True
discover,discov,discover,False
the,the,the,True
wondrous,wondrous,wondrous,True
power,power,power,True
which,which,which,True
attracts,attract,attract,True
the,the,the,True
needle,needl,needle,False
and,and,and,True
may,may,may,True
